Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,60,25,23.2,3.4,7.9,.434,0.6,1.6,.361,2.9,6.3,.452,.471,1.0,1.8,.590,2.1,4.7,6.8,1.1,0.5,0.6,1.2,2.1,8.5
2,Steven Adams\adamsst01,C,28,MEM,66,65,26.4,2.9,5.2,.557,0.0,0.0,.000,2.9,5.2,.559,.557,1.5,2.7,.547,4.7,5.2,9.9,3.3,0.8,0.8,1.6,1.9,7.2
3,Bam Adebayo\adebaba01,C,24,MIA,45,45,33.0,7.2,13.4,.541,0.0,0.1,.000,7.2,13.3,.545,.541,4.5,6.0,.751,2.4,7.9,10.3,3.5,1.5,0.8,2.8,3.2,19.0
4,Santi Aldama\aldamsa01,PF,21,MEM,27,0,10.3,1.4,3.6,.381,0.1,1.4,.103,1.2,2.1,.569,.402,0.4,0.7,.600,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,45,12,22.8,5.6,10.1,.554,0.3,1.0,.311,5.3,9.1,.580,.569,2.0,2.3,.873,1.6,4.0,5.6,0.9,0.3,1.0,0.9,1.6,13.5
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,58,19,23.8,4.2,11.2,.374,1.7,5.5,.312,2.5,5.7,.432,.450,1.4,1.8,.738,0.6,2.4,3.0,2.5,0.7,0.3,1.5,1.6,11.4
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
6,Nickeil Alexander-Walker\alexani01,SG,23,UTA,8,0,7.9,0.8,2.3,.333,0.5,1.5,.333,0.3,0.8,.333,.444,1.1,1.3,.900,0.1,1.4,1.5,0.8,0.3,0.1,0.4,0.8,3.1
7,Grayson Allen\allengr01,SG,26,MIL,58,57,27.6,3.9,8.9,.432,2.5,6.2,.401,1.4,2.7,.503,.571,0.9,1.1,.857,0.5,2.8,3.3,1.6,0.8,0.3,0.6,1.5,11.1
8,Jarrett Allen\allenja01,C,23,CLE,56,56,32.3,6.6,9.7,.677,0.0,0.2,.100,6.6,9.6,.688,.678,2.9,4.2,.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
9,Jose Alvarado\alvarjo01,PG,23,NOP,41,1,14.0,2.0,4.9,.415,0.6,2.0,.301,1.4,2.9,.496,.478,0.6,0.9,.686,0.4,1.2,1.6,2.5,1.2,0.1,0.7,1.5,5.2
10,Justin Anderson\anderju01,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,3,0,10.0,0.7,3.7,.182,0.3,3.0,.111,0.3,0.7,.500,.227,1.0,1.0,1.000,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson\anderky01,PF,28,MEM,57,8,21.4,2.9,6.7,.435,0.5,1.6,.311,2.4,5.2,.473,.471,0.9,1.5,.600,1.0,4.4,5.5,2.6,1.1,0.6,1.0,1.5,7.2
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,59,59,32.9,10.2,18.6,.547,1.1,3.7,.300,9.1,14.8,.610,.578,8.3,11.6,.721,2.0,9.5,11.5,5.8,1.1,1.4,3.2,3.3,29.8
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,41,5,9.2,1.1,2.3,.500,0.0,0.3,.091,1.1,2.0,.554,.505,0.4,0.6,.615,0.9,1.2,2.1,0.5,0.3,0.2,0.5,1.5,2.7
14,Carmelo Anthony\anthoca01,PF,37,LAL,61,3,26.6,4.7,10.6,.443,2.3,5.9,.386,2.4,4.7,.514,.550,2.1,2.5,.829,0.9,3.2,4.2,1.0,0.7,0.8,0.9,2.4,13.7
15,Cole Anthony\anthoco01,PG,21,ORL,56,56,32.6,5.8,14.7,.396,2.1,6.3,.340,3.7,8.4,.438,.469,3.5,4.1,.856,0.5,5.1,5.6,5.7,0.8,0.3,2.7,2.7,17.3
16,OG Anunoby\anunoog01,SF,24,TOR,42,42,36.7,6.6,15.1,.436,2.4,6.8,.351,4.2,8.3,.506,.515,1.9,2.5,.748,1.6,3.9,5.5,2.6,1.5,0.6,1.8,3.0,17.5
17,Ryan Arcidiacono\arcidry01,PG,27,NYK,5,0,3.2,0.4,0.6,.667,0.4,0.4,1.000,0.0,0.2,.000,1.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.2
18,Trevor Ariza\arizatr01,SF,36,LAL,22,10,18.9,1.3,3.7,.341,0.9,3.0,.303,0.4,0.7,.500,.463,0.4,0.7,.533,0.3,3.0,3.2,1.0,0.5,0.2,0.5,0.9,3.8
19,D.J. Augustin\augusdj01,PG,34,TOT,42,2,15.1,1.6,4.0,.413,1.1,2.8,.407,0.5,1.2,.429,.557,0.8,0.9,.872,0.2,1.0,1.3,2.1,0.3,0.0,1.1,0.5,5.2
19,D.J. Augustin\augusdj01,PG,34,HOU,34,2,15.0,1.6,4.0,.404,1.1,2.8,.406,0.5,1.2,.400,.548,1.0,1.1,.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
19,D.J. Augustin\augusdj01,PG,34,LAL,8,0,15.8,1.8,3.9,.452,1.1,2.8,.409,0.6,1.1,.556,.597,0.1,0.1,1.000,0.3,1.3,1.5,1.9,0.5,0.0,0.4,0.5,4.8
20,Deni Avdija\avdijde01,SF,21,WAS,68,6,23.3,2.8,6.3,.437,0.9,2.7,.312,1.9,3.6,.533,.505,1.2,1.6,.761,0.6,4.4,5.0,1.7,0.8,0.5,0.9,2.3,7.6
21,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
22,Deandre Ayton\aytonde01,C,23,PHO,49,49,29.4,7.6,11.8,.643,0.1,0.3,.333,7.5,11.5,.651,.647,1.8,2.4,.731,2.5,7.4,9.9,1.4,0.7,0.7,1.5,2.3,17.0
23,Udoka Azubuike\azubuud01,C,22,UTA,17,6,11.5,2.2,2.9,.755,0.0,0.0,,2.2,2.9,.755,.755,0.4,0.6,.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7
24,Marvin Bagley III\baglema01,PF,22,TOT,40,20,23.2,4.5,9.1,.492,0.5,2.0,.225,4.0,7.1,.567,.517,1.1,1.7,.652,2.3,4.9,7.2,0.7,0.4,0.4,0.8,1.9,10.5
24,Marvin Bagley III\baglema01,PF,22,SAC,30,17,21.9,3.8,8.2,.463,0.5,2.1,.242,3.3,6.1,.538,.494,1.2,1.6,.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
24,Marvin Bagley III\baglema01,PF,22,DET,10,3,27.0,6.4,11.6,.552,0.3,1.8,.167,6.1,9.8,.622,.565,1.0,2.2,.455,2.5,4.6,7.1,1.0,0.7,0.4,1.1,2.4,14.1
25,LaMelo Ball\ballla01,PG,20,CHO,63,63,32.1,7.0,16.6,.420,2.7,7.2,.371,4.3,9.4,.459,.501,3.0,3.5,.869,1.5,5.3,6.9,7.4,1.5,0.4,3.2,3.2,19.7
26,Lonzo Ball\balllo01,PG,24,CHI,35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
27,Mo Bamba\bambamo01,C,23,ORL,59,57,25.9,4.1,8.5,.478,1.4,3.7,.362,2.7,4.8,.569,.558,0.8,1.0,.828,2.1,5.8,7.9,1.1,0.6,1.7,1.1,2.6,10.3
28,Desmond Bane\banede01,SF,23,MEM,66,66,30.0,6.6,14.5,.454,2.9,7.0,.418,3.7,7.6,.487,.554,1.8,2.0,.893,0.6,3.9,4.5,2.6,1.1,0.4,1.5,2.6,17.9
29,Dalano Banton\bantoda01,SF,22,TOR,58,1,11.5,1.4,3.4,.403,0.2,0.9,.260,1.1,2.5,.452,.436,0.4,0.7,.615,0.6,1.4,2.0,1.6,0.5,0.2,0.9,1.1,3.4
30,Cat Barber\barbeca01,PG,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
31,Harrison Barnes\barneha02,PF,29,SAC,66,66,33.9,5.2,10.9,.473,1.9,4.7,.414,3.2,6.2,.517,.562,4.8,5.7,.833,1.1,4.7,5.8,2.5,0.7,0.2,1.6,1.3,17.0
32,Scottie Barnes\barnesc01,PF,20,TOR,61,61,35.6,6.2,12.6,.490,0.8,2.5,.316,5.4,10.0,.533,.521,2.1,2.9,.732,2.6,5.0,7.6,3.3,1.2,0.8,1.9,2.6,15.3
